,added,killed
0,0,0
1,39,197
2,897,193
3,792,684
4,20,43
5,981,733
6,933,463
7,971,230
8,559,537
9,441,511
10,971,3
11,790,234
12,657,553
13,714,843
14,104,714
15,904,673
16,570,371
17,751,139
18,95,32
19,193,602
20,431,432
21,120,172
22,527,694
23,511,997
24,527,112
25,144,61
26,441,810
27,104,904
28,979,744
29,974,263
30,533,453
31,39,364
32,546,685
33,274,39
34,22,60
35,808,158
36,186,985
37,48,552
38,888,713
39,610,314
40,610,915
41,955,230
42,675,989
43,519,687
44,420,370
45,123,538
46,915,933
47,152,326
48,765,569
49,591,690
50,927,752
51,955,139
52,371,761
53,311,640
54,675,313
55,266,797
56,264,772
57,165,195
58,894,471
59,116,502
60,700,394
61,371,739
62,577,57
63,792,584
64,928,39
65,507,267
66,679,319
67,576,409
68,547,234
69,39,270
70,519,750
71,869,115
72,740,450
73,432,95
74,983,360
75,563,923
76,152,666
77,165,410
78,922,624
79,893,712
80,48,287
81,1000,556
82,974,358
83,156,667
84,289,289
85,289,335
86,145,655
87,143,975
88,812,526
89,927,794
90,527,647
91,471,237
92,51,519
93,894,851
94,563,464
95,63,727
96,530,59
97,30,943
98,846,409
99,289,652
100,725,305
101,743,309
102,235,260
103,165,644
104,423,49
105,153,471
106,303,93
107,353,544
108,471,463
109,612,339
110,675,531
111,738,690
112,564,496
113,446,715
114,687,215
115,193,505
116,149,993
117,908,993
118,164,119
119,685,921
120,419,335
121,351,763
122,825,670
123,971,460
124,661,900
125,516,933
126,32,610
127,675,51
128,234,894
129,527,657
130,165,51
131,207,298
132,306,245
133,266,912
134,498,231
135,274,940
136,65,152
137,894,222
138,613,306
139,609,260
140,847,96
141,792,812
142,414,519
143,581,289
144,250,949
145,289,37
146,292,63
147,725,576
148,132,971
149,21,423
150,692,510
151,168,193
152,156,557
153,51,675
154,89,371
155,892,272
156,880,563
157,196,271
158,443,666
159,947,266
160,235,760
161,661,118
162,792,609
163,956,725
164,700,563
165,555,165
166,17,132
167,30,993
168,454,48
169,314,867
170,206,385
171,527,843
172,30,737
173,622,979
174,732,311
175,85,223
176,725,559
177,771,273
178,318,973
179,230,86
180,57,220
181,542,564
182,455,50
183,998,196
184,234,270
185,147,428
186,683,983
187,511,792
188,546,862
189,801,185
190,12,274
191,243,912
192,792,189
193,638,446
194,806,765
195,530,435
196,339,255
197,707,210
198,464,738
199,974,264
200,742,261
201,491,1000
202,21,53
203,542,358
204,893,164
205,594,89
206,738,561
207,546,751
208,988,81
209,344,657
210,989,740
211,419,538
212,707,455
213,918,168
214,840,628
215,30,491
216,882,613
217,561,732
218,321,206
219,546,649
220,964,419
221,612,319
222,321,365
223,414,546
224,353,832
225,115,661
226,443,382
227,543,824
228,952,561
229,356,242
230,165,792
231,123,546
232,295,318
233,282,301
234,943,955
235,582,846
236,786,30
237,548,96
238,773,449
239,266,117
240,250,653
241,551,924
242,8,547
243,850,527
244,109,772
245,98,983
246,423,30
247,131,207
248,906,530
249,490,414
250,561,830
251,938,115
252,158,792
253,864,39
254,51,615
255,593,144
256,847,153
257,353,141
258,234,527
259,806,920
260,234,556
261,22,98
262,956,796
263,921,837
264,585,51
265,85,289
266,530,894
267,908,511
268,353,464
269,471,767
270,542,849
271,299,880
272,908,33
273,808,381
274,217,576
275,164,829
276,638,838
277,560,438
278,217,31
279,661,424
280,123,869
281,974,814
282,591,472
283,455,809
284,660,575
285,238,830
286,822,546
287,42,318
288,708,899
289,897,155
290,431,847
291,498,143
292,120,51
293,930,528
294,22,560
295,165,290
296,150,344
297,879,876
298,529,42
299,822,893
300,56,964
301,809,498
302,581,207
303,89,356
304,527,897
305,1000,551
306,246,487
307,220,351
308,530,383
309,360,450
310,234,353
311,48,144
312,808,516
313,941,95
314,790,158
315,529,898
316,123,571
317,47,577
318,467,536
319,512,86
320,43,195
321,136,234
322,217,943
323,183,147
324,845,228
325,419,894
326,498,381
327,486,22
328,964,594
329,610,874
330,292,682
331,703,969
332,251,594
333,927,897
334,96,603
335,431,217
336,289,894
337,593,740
338,692,984
339,671,152
340,977,812
341,542,692
342,323,873
343,214,420
344,947,749
345,700,813
346,441,551
347,943,527
348,880,585
349,808,593
350,873,189
351,326,490
352,65,57
353,687,260
354,197,289
355,889,578
356,870,441
357,898,242
358,540,419
359,583,647
360,173,441
361,637,542
362,221,806
363,591,998
364,790,109
365,595,188
366,251,850
367,542,29
368,353,431
369,738,432
370,174,320
371,246,873
372,30,671
373,467,210
374,825,264
375,940,165
376,808,527
377,873,622
378,230,825
379,254,384
380,612,627
381,542,12
382,814,894
383,173,174
384,353,700
385,246,20
386,267,57
387,564,238
388,6,353
389,174,470
390,65,559
391,160,625
392,527,306
393,410,593
394,918,527
395,292,820
396,993,344
397,234,955
398,993,816
399,203,561
400,564,396
401,908,778
402,204,149
403,864,164
404,687,849
405,700,947
406,947,506
407,89,483
408,321,186
409,897,221
410,898,153
411,974,321
412,1,426
413,465,110
414,979,542
415,882,355
416,582,6
417,176,929
418,350,542
419,225,144
420,692,947
421,350,992
422,459,926
423,176,414
424,390,914
425,585,670
426,517,200
427,828,707
428,810,513
429,904,610
430,423,390
431,792,508
432,593,840
433,360,941
434,724,822
435,530,482
436,423,661
437,812,940
438,120,866
439,828,971
440,974,892
441,908,882
442,491,542
443,725,742
444,888,448
445,30,661
446,817,396
447,965,918
448,269,687
449,529,898
450,89,898
451,217,873
452,165,143
453,882,952
454,882,908
455,454,732
456,918,174
457,540,860
458,30,224
459,922,65
460,529,583
461,841,150
462,790,209
463,463,170
464,150,455
465,928,533
466,55,79
467,20,186
468,396,828
469,347,419
470,915,295
471,238,464
472,890,546
473,801,804
474,529,59
475,26,116
476,827,828
477,65,612
478,491,906
479,889,697
480,315,443
481,908,225
482,99,869
483,105,498
484,514,594
485,683,96
486,847,282
487,146,108
488,507,833
489,160,719
490,512,460
491,42,695
492,145,289
493,825,524
494,785,943
495,790,200
496,612,742
497,529,251
498,979,723
499,712,314
500,165,988
501,882,234
502,638,955
503,847,33
504,56,246
505,642,564
506,326,123
507,274,267
508,898,56
509,542,179
510,542,683
511,725,736
512,85,882
513,999,546
514,299,974
515,299,921
516,48,490
517,591,716
518,812,609
519,150,979
520,243,803
521,570,390
522,165,873
523,926,321
524,812,683
525,660,446
526,806,661
527,542,397
528,311,805
529,197,660
530,527,773
531,299,581
532,108,718
533,725,234
534,628,147
535,692,339
536,904,610
537,214,120
538,311,133
539,454,472
540,443,56
541,522,455
542,353,350
543,700,841
544,698,635
545,387,822
546,596,151
547,463,74
548,799,943
549,339,364
550,414,698
551,844,123
552,131,8
553,561,507
554,564,410
555,882,725
556,236,897
557,908,454
558,712,351
559,514,707
560,129,542
561,152,156
562,136,731
563,893,888
564,47,463
565,339,561
566,233,343
567,123,514
568,30,431
569,893,571
570,145,246
571,533,43
572,22,642
573,787,517
574,675,174
575,205,827
576,564,3
577,207,165
578,123,109
579,591,428
580,243,901
581,952,145
582,890,243
583,314,432
584,214,642
585,708,120
586,263,564
587,629,570
588,638,892
589,675,555
590,459,542
591,432,136
592,469,463
593,312,464
594,812,885
595,274,976
596,918,915
597,927,39
598,478,76
599,32,441
600,519,846
601,804,563
602,85,732
603,89,612
604,879,183
605,507,725
606,904,897
607,243,467
608,22,847
609,266,604
610,847,835
611,266,503
612,441,469
613,138,478
614,441,203
615,101,205
616,20,657
617,765,56
618,818,675
619,245,596
620,39,344
621,921,582
622,804,880
623,679,270
624,263,591
625,752,813
626,326,400
627,889,30
628,379,742
629,687,178
630,384,638
631,889,248
632,138,173
633,85,469
634,692,956
635,700,613
636,725,214
637,524,42
638,897,464
639,55,332
640,326,99
641,817,533
642,233,712
643,138,804
644,671,339
645,849,183
646,683,796
647,542,82
648,703,39
649,132,825
650,463,42
651,463,827
652,188,530
653,533,979
654,828,738
655,8,39
656,979,321
657,431,353
658,96,593
