,index,0
0,1,3
1,3,1
2,4,1
3,5,4
4,6,1
5,7,2
6,8,1
7,9,1
8,12,1
9,13,1
10,14,1
11,15,2
12,16,3
13,21,1
14,22,2
15,23,1
16,25,2
17,29,2
18,31,2
19,33,3
20,34,2
21,35,2
22,36,1
23,39,1
24,40,1
25,41,1
26,42,1
27,43,1
28,44,1
29,45,1
30,46,2
31,48,1
32,49,1
33,50,2
34,51,1
35,54,3
36,55,3
37,56,2
38,57,1
39,59,2
40,60,1
41,61,2
42,62,1
43,63,1
44,67,3
45,70,4
46,73,3
47,75,1
48,79,1
49,80,2
50,81,1
51,82,2
52,83,1
53,84,1
54,85,1
55,91,1
56,94,1
57,95,1
58,96,1
59,97,1
60,99,1
61,100,2
62,103,1
63,105,2
64,106,1
65,108,1
66,111,1
67,113,1
68,115,1
69,116,2
70,117,2
71,118,1
72,120,1
73,122,2
74,123,1
75,124,1
76,125,1
77,127,2
78,130,1
79,131,1
80,135,2
81,137,1
82,138,2
83,139,3
84,141,2
85,142,2
86,147,1
87,149,1
88,150,3
89,152,2
90,153,2
91,154,1
92,156,2
93,158,1
94,159,1
95,162,1
96,163,1
97,164,3
98,165,1
99,166,3
100,167,1
101,168,1
102,169,1
103,170,2
104,171,2
105,173,1
106,174,1
107,176,4
108,179,1
109,181,2
110,182,1
111,184,1
112,185,1
113,187,3
114,189,3
115,190,1
116,191,1
117,193,2
118,194,1
119,196,1
120,197,1
121,198,2
122,199,2
123,200,2
124,201,1
125,202,1
126,203,2
127,204,1
128,207,2
129,208,1
130,209,3
131,210,1
132,212,1
133,213,1
134,215,2
135,216,1
136,217,1
137,218,2
138,221,2
139,223,1
140,224,2
141,225,1
142,226,1
143,227,1
144,232,1
145,233,3
146,234,1
147,235,1
148,236,1
149,237,3
150,239,1
151,240,1
152,241,2
153,242,1
154,243,1
155,244,1
156,248,2
157,250,1
158,251,3
159,256,1
160,257,1
161,258,1
162,259,2
163,260,2
164,261,1
165,265,2
166,266,1
167,267,2
168,269,1
169,270,2
170,271,1
171,272,2
172,273,1
173,274,1
174,275,2
175,276,1
176,277,1
177,278,1
178,282,2
179,283,2
180,284,1
181,286,1
182,287,1
183,288,1
184,289,4
185,292,1
186,293,2
187,294,3
188,295,1
189,296,2
190,297,3
191,298,2
192,299,1
193,301,2
194,302,1
195,303,2
196,305,2
197,306,2
198,307,1
199,308,1
200,309,1
201,314,1
202,316,1
203,318,1
204,319,1
205,320,1
206,323,2
207,325,1
208,332,1
209,334,2
210,335,3
211,336,2
212,337,2
213,338,1
214,339,1
215,340,1
216,341,1
217,342,1
218,344,3
219,345,1
220,346,2
221,347,3
222,349,1
223,350,1
224,351,2
225,353,2
226,355,2
227,356,2
228,357,3
229,358,2
230,360,1
231,362,2
232,363,2
233,364,1
234,365,5
235,366,3
236,367,1
237,368,1
238,369,1
239,370,1
240,371,1
241,375,1
242,377,1
243,378,1
244,379,3
245,380,1
246,381,1
247,383,1
248,385,2
249,386,1
250,387,2
251,388,1
252,389,1
253,390,3
254,391,1
255,393,3
256,394,1
257,398,1
258,399,1
259,402,2
260,404,1
261,405,4
262,406,1
263,408,2
264,410,1
265,412,1
266,413,1
267,415,1
268,416,1
269,419,1
270,421,1
271,422,1
272,423,2
273,424,1
274,425,2
275,426,1
276,428,1
277,430,2
278,433,1
279,434,1
280,435,1
281,436,1
282,437,2
283,438,1
