,index,0
0,1,2
1,3,2
2,6,1
3,7,1
4,8,1
5,9,1
6,11,1
7,12,1
8,13,1
9,17,2
10,19,3
11,20,2
12,21,1
13,22,3
14,25,1
15,26,1
16,27,1
17,29,1
18,30,2
19,31,1
20,32,2
21,33,3
22,37,1
23,38,1
24,39,5
25,42,2
26,43,3
27,46,1
28,47,3
29,48,1
30,49,1
31,50,1
32,51,3
33,53,1
34,55,2
35,56,4
36,57,2
37,59,3
38,60,2
39,61,1
40,63,2
41,65,1
42,67,1
43,68,2
44,70,1
45,73,1
46,74,1
47,76,1
48,79,2
49,81,1
50,82,1
51,85,1
52,86,2
53,89,3
54,93,1
55,95,1
56,96,3
57,98,1
58,99,2
59,100,1
60,101,1
61,103,1
62,104,2
63,105,1
64,106,1
65,107,1
66,108,2
67,109,1
68,110,1
69,112,2
70,115,2
71,116,2
72,117,1
73,118,2
74,119,1
75,120,3
76,123,3
77,127,1
78,128,1
79,129,1
80,130,1
81,131,1
82,132,1
83,133,1
84,134,1
85,136,2
86,138,1
87,139,2
88,141,1
89,143,1
90,144,3
91,145,2
92,146,1
93,147,3
94,149,1
95,150,3
96,151,2
97,152,1
98,153,1
99,155,1
100,156,1
101,158,4
102,160,1
103,164,3
104,165,3
105,168,1
106,169,1
107,170,1
108,172,2
109,173,1
110,174,3
111,176,2
112,178,2
113,179,1
114,183,1
115,184,2
116,185,3
117,186,1
118,187,1
119,188,2
120,189,2
121,193,3
122,195,2
123,196,1
124,197,3
125,200,2
126,203,1
127,204,1
128,205,4
129,206,1
130,207,2
131,209,1
132,210,2
133,214,1
134,215,1
135,217,2
136,220,3
137,221,1
138,222,1
139,223,1
140,224,1
141,225,2
142,228,1
143,229,1
144,230,4
145,231,1
146,233,2
147,234,4
148,235,3
149,236,1
150,237,1
151,238,2
152,240,1
153,242,2
154,243,1
155,245,3
156,246,1
157,247,1
158,248,1
159,250,1
160,251,1
161,254,1
162,255,1
163,259,1
164,260,3
165,261,2
166,262,1
167,263,2
168,264,2
169,266,4
170,267,4
171,269,1
172,270,3
173,271,1
174,272,1
175,273,1
176,274,2
177,276,1
178,280,1
179,282,1
180,287,2
181,289,4
182,290,1
183,291,1
184,292,1
185,295,1
186,296,1
187,298,1
188,299,4
189,301,1
190,303,1
191,305,1
192,306,1
193,308,1
194,309,1
195,311,3
196,312,1
197,313,2
198,314,2
199,315,1
200,318,3
201,319,2
202,320,1
203,321,2
204,323,1
205,326,2
206,327,1
207,328,1
208,332,1
209,333,1
210,335,2
211,336,1
212,338,2
213,339,4
214,342,1
215,343,1
216,344,3
217,347,1
218,348,1
219,350,1
220,351,1
221,352,1
222,353,2
223,355,1
224,356,1
225,358,2
226,360,2
227,364,2
228,365,2
229,370,2
230,371,2
231,379,1
232,381,2
233,382,1
234,383,1
235,384,2
236,385,1
237,387,2
238,390,2
239,391,1
240,392,1
241,394,2
242,396,4
243,397,1
244,399,1
245,400,1
246,403,1
247,405,1
248,407,1
249,408,1
250,409,2
251,410,3
252,411,2
253,412,1
254,413,1
255,414,2
256,419,2
257,420,1
258,423,3
259,424,1
260,426,1
261,428,2
262,431,3
263,432,3
264,435,1
265,438,1
266,441,2
267,443,1
268,446,1
269,447,1
270,448,1
271,449,1
272,450,2
273,452,1
274,453,1
275,454,3
276,455,3
277,456,1
278,459,1
279,460,3
280,462,1
281,463,3
282,464,4
283,465,1
284,466,1
285,467,1
286,469,1
287,470,1
288,471,3
289,472,2
290,478,1
291,479,1
292,482,1
293,483,1
294,486,3
295,487,1
296,490,1
297,491,3
298,494,1
299,496,1
300,498,3
301,500,1
302,502,1
303,503,1
304,505,1
305,506,1
306,507,2
307,508,1
308,510,1
309,511,3
310,512,1
311,513,1
312,514,2
313,516,1
314,517,2
315,519,3
316,521,1
317,522,1
318,524,2
319,526,1
320,527,3
321,528,1
322,529,2
323,530,1
324,531,1
325,533,2
326,536,1
327,537,2
328,538,2
329,540,3
330,541,1
331,542,3
332,543,1
333,544,1
334,546,2
335,547,1
