,index,0
0,2,1
1,4,3
2,5,1
3,6,2
4,8,2
5,9,3
6,10,1
7,12,1
8,13,1
9,18,1
10,20,2
11,21,1
12,22,1
13,23,2
14,24,1
15,26,3
16,27,2
17,28,2
18,30,1
19,31,1
20,32,2
21,33,1
22,34,2
23,36,2
24,38,1
25,39,1
26,42,1
27,43,1
28,45,1
29,49,2
30,50,2
31,51,2
32,52,1
33,54,1
34,56,2
35,57,1
36,58,3
37,60,2
38,61,2
39,62,1
40,63,1
41,64,2
42,68,1
43,71,1
44,75,1
45,79,1
46,80,2
47,81,2
48,82,1
49,83,2
50,87,1
51,88,3
52,92,1
53,94,3
54,95,2
55,96,2
56,97,1
57,98,1
58,99,1
59,101,1
60,102,1
61,103,2
62,104,1
63,106,1
64,107,2
65,108,1
66,110,2
67,112,1
68,116,1
69,118,2
70,122,1
71,124,1
72,125,1
73,126,2
74,129,3
75,130,1
76,131,1
77,132,1
78,133,2
79,134,2
80,135,1
81,136,1
82,137,2
83,138,4
84,139,2
85,140,1
86,144,2
87,145,2
88,147,1
89,149,3
90,150,1
91,151,1
92,152,1
93,153,1
94,154,1
95,157,2
96,158,3
97,160,2
98,163,5
99,165,1
100,167,1
101,168,1
102,169,1
103,170,1
104,175,1
105,177,2
106,180,1
107,181,1
108,182,1
109,184,2
110,186,3
111,187,1
112,190,2
113,194,1
114,195,1
115,196,1
116,197,3
117,199,1
118,202,2
119,203,1
120,207,1
121,208,1
122,209,4
123,210,1
124,216,2
125,217,3
126,219,1
127,220,3
128,221,2
129,223,1
130,224,2
131,226,1
132,227,1
133,228,1
134,229,1
135,231,1
136,233,1
137,236,1
138,239,1
139,240,1
140,242,1
141,243,1
142,246,2
143,248,3
144,249,1
145,250,2
146,251,3
147,252,1
148,253,2
149,254,2
150,255,2
151,258,1
152,259,2
153,260,1
154,262,5
155,263,4
156,267,1
157,268,1
158,269,1
159,270,1
160,272,2
161,274,1
162,276,4
163,280,1
164,281,1
165,282,1
166,283,4
167,284,1
168,285,3
169,288,1
170,289,1
171,290,1
172,292,1
173,294,1
174,296,1
175,298,1
176,300,1
177,301,1
178,303,1
179,304,1
180,305,2
181,306,1
182,308,2
183,309,1
184,311,3
185,312,1
186,313,1
187,314,1
188,316,4
189,319,2
190,320,1
191,321,2
192,323,1
193,324,2
194,325,3
195,328,3
196,329,2
197,330,1
198,331,1
199,332,1
200,333,2
201,334,2
202,337,2
203,339,1
204,340,1
205,341,1
206,343,1
207,347,1
208,348,1
209,349,4
210,350,2
211,352,2
212,353,1
213,354,2
214,357,1
215,362,1
216,365,2
217,366,2
218,367,1
219,369,1
220,370,2
221,373,1
222,374,1
223,375,1
224,376,1
225,377,2
226,378,1
227,379,2
228,381,3
229,382,2
230,384,1
231,388,1
232,389,6
233,390,4
234,391,1
235,392,1
236,393,2
237,394,2
238,395,1
239,396,2
240,397,2
241,398,1
242,399,1
243,400,2
244,401,1
245,403,4
246,404,1
247,405,1
248,407,2
249,409,1
250,410,1
251,411,1
252,413,1
253,415,1
254,416,1
255,418,1
