,index,0
532,854,2
533,855,1
534,856,1
535,857,1
536,860,1
537,861,1
538,862,1
539,865,1
540,866,3
541,867,1
542,868,2
543,869,1
544,871,2
545,872,3
546,873,1
547,874,5
548,875,1
549,877,1
550,878,2
551,879,2
552,881,1
553,884,1
554,885,1
555,887,2
556,889,2
557,893,1
558,894,3
559,895,1
560,896,2
561,900,2
562,901,1
563,902,2
564,903,1
565,904,1
566,905,1
567,906,2
568,908,1
569,910,1
570,911,2
571,914,2
572,915,1
573,917,1
574,919,1
575,920,1
576,922,2
577,923,3
578,926,1
579,927,1
580,929,1
581,930,1
582,931,1
583,932,1
584,934,3
585,935,2
586,936,1
587,937,2
588,939,6
589,941,3
590,943,2
591,945,3
592,947,2
593,949,2
594,950,1
595,951,1
596,952,2
597,954,2
598,955,1
599,956,2
600,957,1
601,959,1
602,960,1
603,961,1
604,962,1
605,963,1
606,965,1
607,969,1
608,973,1
609,974,2
610,982,3
611,984,1
612,985,1
613,986,1
614,987,1
615,988,3
616,989,2
617,991,2
618,992,2
619,993,2
620,997,4
