,index,0
0,2,1
1,5,1
2,6,1
3,8,2
4,9,3
5,10,4
6,11,1
7,14,2
8,16,1
9,17,1
10,19,1
11,20,2
12,21,1
13,23,2
14,26,1
15,27,1
16,29,3
17,30,1
18,31,1
19,33,1
20,34,1
21,35,1
22,36,2
23,37,1
24,38,1
25,39,2
26,40,2
27,42,3
28,44,2
29,45,2
30,46,1
31,47,1
32,49,2
33,54,1
34,55,1
35,57,1
36,58,2
37,59,1
38,62,1
39,68,1
40,69,1
41,70,1
42,72,4
43,73,2
44,74,2
45,75,3
46,76,2
47,77,3
48,78,1
49,79,1
50,81,1
51,83,2
52,85,1
53,86,1
54,87,1
55,88,2
56,91,3
57,92,1
58,93,4
59,94,1
60,95,1
61,96,1
62,99,2
63,100,1
64,101,1
65,102,1
66,103,2
67,104,1
68,106,2
69,107,1
70,110,3
71,111,1
72,112,1
73,113,1
74,115,1
75,116,1
76,117,3
77,119,2
78,120,1
79,121,1
80,122,1
81,124,1
82,125,1
83,127,1
84,128,1
85,133,2
86,135,1
87,137,1
88,140,2
89,141,1
90,142,3
91,143,3
92,144,2
93,145,1
94,146,1
95,147,2
96,148,1
97,150,2
98,156,2
99,157,1
100,158,3
101,159,2
102,161,1
103,162,2
104,163,1
105,165,1
106,166,1
107,167,2
108,168,3
109,169,3
110,171,1
111,172,1
112,173,1
113,174,1
114,175,1
115,176,1
116,177,2
117,179,1
118,180,2
119,181,5
120,182,1
121,184,1
122,187,2
123,188,2
124,190,1
125,192,3
126,193,3
127,195,1
128,196,1
129,198,1
130,199,2
131,200,1
132,202,1
133,205,1
134,206,1
135,207,2
136,208,1
137,212,1
138,213,2
139,214,2
140,215,2
141,216,1
142,217,1
143,218,1
144,219,1
145,220,1
146,221,1
147,223,1
148,224,1
149,225,1
150,226,1
151,227,2
152,228,1
153,230,2
154,231,1
155,234,3
156,235,2
157,236,1
158,237,1
159,238,1
160,241,1
161,243,2
162,244,2
163,247,1
164,248,1
165,249,3
166,251,1
167,253,1
168,255,1
169,257,1
170,259,2
171,265,3
172,266,1
173,267,2
174,268,1
175,272,1
176,274,2
177,278,2
178,279,2
179,280,2
180,281,3
181,282,1
182,285,1
183,286,2
184,287,1
185,288,3
186,289,2
187,290,4
188,291,2
189,293,1
190,295,1
191,296,1
192,297,1
193,298,2
194,299,1
195,300,2
196,301,1
197,302,1
198,303,1
199,304,3
200,308,1
201,309,3
202,310,1
203,313,1
204,314,1
205,315,1
206,316,2
207,317,1
208,318,2
209,319,1
210,321,1
211,322,1
212,323,1
213,324,1
214,326,2
215,327,1
216,328,3
217,330,2
218,333,1
219,334,1
220,335,1
221,338,1
222,341,2
223,342,1
224,343,2
225,345,1
226,348,2
227,349,2
228,350,1
229,353,2
230,355,2
231,356,1
232,357,1
233,358,3
234,359,4
235,360,1
236,361,2
